Debt,BankCustomer,YearsEmployed,Employed,CreditScore,Income,Approved,,,,
22,1,0,0,0,100000,1,,,,
8,1,6.5,1,6,51100,1,,,,
1.54,1,1.54,1,1,50000,1,,,,
1.04,1,6.5,0,0,31285,1,,,,
7.5,1,2.71,1,5,26726,1,,,,
3.04,0,2.04,1,1,18027,1,,,,
0.375,1,0.25,1,3,15108,1,,,,
0.29,1,15,1,20,15000,1,,,,
15,0,0,0,0,13212,1,,,,
6.5,1,6.29,1,15,11202,1,,,Approved,
0.54,1,0.04,0,0,11177,1,,,,
16.5,1,11,0,0,10561,1,,,Bank Customer,
1.04,1,5,1,6,10000,1,,,1,262
7.5,1,1.415,1,1,9800,1,,,0,45
11.5,1,5,1,5,8851,1,,,Employed,
0.165,0,3.25,1,1,8000,1,,,1,209
2,1,1,1,4,7544,1,,,0,98
3.5,1,0.625,1,7,7059,1,,,,
21,1,10,1,13,6700,1,,,,
12,1,14,1,8,6590,1,,,,
0.875,1,1.04,0,0,5860,1,,,,
2.04,1,0.04,0,0,5800,1,,,,
1.75,0,1,1,5,5777,1,,,,
1.125,1,1.25,0,0,5298,1,,,,
0.58,1,0.29,1,7,5124,1,,,,
19.5,1,7,1,16,5000,1,,,,
7.585,1,7.585,1,15,5000,1,,,,
13.5,1,5,1,2,5000,1,,,,
1.625,1,1.5,1,10,4700,1,,,,
9.5,1,6.5,1,14,4607,1,,,,
3,1,2.375,1,8,4159,1,,,,
1,1,0.75,1,7,4071,1,,,,
5.125,1,5,0,0,4000,1,,,,
15,1,0,1,14,3376,1,,,,
0.83,1,1.335,1,8,3290,1,,,,
5.665,1,2.585,1,7,3257,1,,,,
5,1,5,1,7,3065,1,,,,
6.5,1,4,1,7,3065,1,,,,
2.415,1,2,1,11,3000,1,,,,
11,1,1,1,11,3000,1,,,,
19.5,1,5.5,1,7,3000,1,,,,
0.04,1,0.04,0,0,3000,1,,,,
6.5,1,1.46,1,7,2954,1,,,,
0.205,0,0.25,1,11,2732,1,,,,
6.04,1,0.04,0,0,2690,1,,,,
2.5,1,2.5,1,12,2510,1,,,,
1.835,1,2.085,1,5,2503,1,,,,
2.29,1,2.29,1,7,2384,1,,,,
7.54,0,8,1,14,2300,1,,,,
15,1,5.335,1,11,2283,1,,,,
4,1,5,1,3,2279,1,,,,
9.5,1,1.5,0,0,2206,1,,,,
15,1,5.5,1,14,2200,1,,,,
2.5,1,1.085,1,11,2184,1,,,,
1.46,1,1.085,1,16,2079,1,,,,
2.5,1,2.75,1,6,2072,1,,,,
12.5,1,8,0,0,2028,1,,,,
0.875,1,4.625,1,2,2000,1,,,,
8.5,1,14,1,1,2000,1,,,,
0.08,0,0.04,1,1,2000,1,,,,
3,1,13.875,1,2,1704,1,,,,
8.5,1,12.5,1,9,1655,1,,,,
10,1,4,1,14,1602,1,,,,
0.915,1,0.75,1,4,1583,1,,,,
10,1,1,1,4,1465,1,,,,
4.915,0,3.165,0,0,1442,1,,,,
1.04,1,2.5,1,5,1430,1,,,,
14,1,0,1,11,1400,1,,,,
7,1,1.625,1,3,1391,1,,,,
11.585,1,0.04,0,0,1349,1,,,,
3.335,1,4,1,14,1344,1,,,,
7.04,1,14,1,6,1332,1,,,,
2.5,1,4.5,1,7,1270,1,,,,
8,1,7.875,1,6,1260,1,,,,
10,1,0,1,11,1249,1,,,,
