Debt,BankCustomer,YearsEmployed,Employed,CreditScore,Income,Approved
0,1,1.25,1,3,800,1
0,0,0,0,2,1,1
0,1,15,0,2,0,1
0,1,2.5,0,2,0,1
0,1,0.085,0,1,0,1
0,1,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,0,0,0,1
0.04,1,0.04,0,3,3000,1
0.04,1,0.04,1,3,0,1
0.04,1,0.04,0,1,0,1
0.08,0,0.04,1,3,2000,1
0.125,1,1,1,3,768,1
0.125,0,1.5,0,2,113,1
0.165,0,3.25,1,3,8000,1
0.165,1,0,1,3,100,1
0.165,1,0.21,0,2,40,1
0.165,1,2.25,0,2,0,1
0.205,0,0.25,1,11,2732,1
0.205,1,5.125,0,2,0,1
0.21,1,0.29,1,11,99,1
0.21,1,0.085,0,1,0,1
0.25,1,0.665,0,2,0,1
0.25,1,0,0,0,0,1
0.29,1,15,1,20,15000,1
0.29,0,3.75,1,8,375,1
0.375,1,2.25,1,3,15108,1
0.375,1,2,1,3,1400,1
0.375,1,0.585,1,4,457,1
0.375,0,0.375,1,8,162,1
0.375,1,0.375,0,2,44,1
0.375,1,10,0,2,0,1
0.42,1,3,1,6,948,1
0.46,1,0.54,1,4,500,1
0.46,1,0.415,1,11,6,1
0.5,1,1.46,1,5,1300,1
0.5,1,1.5,0,3,824,1
0.5,1,1.25,1,3,678,1
0.5,1,1.75,1,11,540,1
0.5,0,3.96,0,3,314,1
0.5,1,5,0,2,0,1
0.5,1,0.875,0,2,0,1
0.54,1,0.04,0,3,11177,1
0.54,0,0.5,1,3,1000,1
0.54,0,0.04,1,3,59,1
0.58,1,0.29,1,7,5124,1
0.585,0,0.25,1,3,500,1
0.585,1,1.5,1,3,250,1
0.665,1,0.165,0,2,0,1
0.75,1,2.75,1,3,892,1
0.75,1,1.75,1,5,690,1
0.75,1,4.25,1,3,150,1
0.75,1,0.25,0,2,23,1
0.79,0,1.5,1,3,400,1
0.83,1,1.335,1,8,3290,1
0.83,1,2.165,0,2,0,1
0.835,1,1.585,1,3,340,1
0.875,1,1.04,0,3,5860,1
0.875,1,4.625,1,3,2000,1
0.875,1,0.96,1,3,400,1
0.915,1,0.75,1,4,1583,1
0.96,1,2.5,0,3,600,1
1,1,0.75,1,7,4071,1
1,1,2,1,11,456,1
1,1,2.25,0,2,300,1
1,1,1.75,0,2,0,1
1,1,0.835,0,2,0,1
1.04,1,6.5,0,3,31285,1
1.04,1,5,1,6,10000,1
1.04,1,2.5,1,5,1430,1
1.125,1,1.25,0,3,5298,1
1.125,0,1.5,0,2,0,1
1.415,1,0.75,1,3,100,1
1.46,1,1.085,1,16,2079,1
1.5,0,0.375,0,3,1065,1
1.5,1,2.375,1,3,582,1
1.5,1,5.5,1,3,350,1
1.5,1,1.875,1,6,327,1
1.5,1,1.415,0,2,200,1
1.5,1,2,1,11,35,1
1.5,1,1.5,0,2,8,1
1.54,1,1.54,1,3,50000,1
1.54,1,3.75,1,5,3,1
1.54,1,3.5,0,2,0,1
1.54,1,0.125,0,1,0,1
1.585,0,3.085,1,6,1200,1
1.585,1,1.835,1,12,713,1
1.625,1,1.5,1,10,4700,1
1.665,1,5.085,1,9,827,1
1.71,1,0.125,1,5,300,1
1.71,1,1.665,1,3,20,1
1.75,0,1,1,5,5777,1
1.75,1,4.5,1,4,857,1
1.75,0,0.04,0,1,0,1
1.835,1,2.085,1,5,2503,1
1.835,1,4.335,0,2,200,1
1.835,1,2.25,1,3,150,1
2,1,1,1,4,7544,1
2,1,4.165,1,3,1300,1
2,1,1.5,1,3,300,1
2,1,1.75,1,3,15,1
2.04,1,0.04,0,3,5800,1
2.04,0,0.125,1,23,1236,1
2.04,0,2,1,3,560,1
2.125,0,0.085,1,3,1187,1
2.29,1,2.29,1,7,2384,1
2.335,1,0.5,1,4,300,1
2.415,1,2,1,11,3000,1
2.5,1,2.5,1,12,2510,1
2.5,1,1.085,1,11,2184,1
2.5,1,2.75,1,6,2072,1
2.5,1,4.5,1,7,1270,1
2.5,1,0,0,2,200,1
2.54,0,2.585,0,2,0,1
2.54,0,0.25,0,2,0,1
2.71,0,5.25,1,3,2500,1
2.75,1,2.25,1,6,600,1
2.75,1,4.25,1,6,200,1
2.75,1,1.75,1,5,58,1
2.875,1,0.875,0,2,0,1
3,1,2.375,1,8,4159,1
3,1,6,1,11,2300,1
3,1,13.875,1,3,1704,1
3,1,1.29,1,3,800,1
3,1,1.835,1,19,500,1
3,1,0.165,1,3,6,1
3,0,1.085,1,8,1,1
3,1,7.415,0,2,0,1
3,1,0.04,0,1,0,1
3.04,0,2.04,1,3,18027,1
3.04,0,2.54,1,3,1500,1
3.165,0,3.165,1,3,1500,1
3.25,1,9,0,3,639,1
3.335,1,4,1,14,1344,1
3.5,1,0.625,1,7,7059,1
3.5,1,3.5,0,2,0,1
3.5,1,0.835,0,2,0,1
3.75,1,0.625,1,9,1500,1
3.75,1,1.085,1,3,1500,1
4,1,5,1,3,2279,1
4,0,1.75,1,3,1000,1
4,1,0,0,3,960,1
4,1,2.5,0,2,0,1
4,1,0.25,0,2,0,1
4.04,1,7,1,8,1500,1
4.04,0,8.5,1,7,1500,1
4.25,1,4.29,1,3,1500,1
4.25,1,6.5,1,16,1210,1
4.25,1,3.25,1,3,610,1
4.25,1,0.125,0,1,0,1
4.415,0,0.25,1,10,1000,1
4.415,0,3,0,2,0,1
4.46,1,3.04,1,6,560,1
4.46,1,6.04,1,3,300,1
4.5,1,7.5,1,3,880,1
4.5,1,5.75,0,2,0,1
4.625,1,1.625,1,3,450,1
4.625,1,4.58,0,2,0,1
4.79,0,2.25,1,3,300,1
4.915,0,3.165,0,3,1442,1
5,1,5,1,7,3065,1
5,1,5,1,6,3000,1
5,1,3.5,1,10,1500,1
5,1,7.5,1,6,1000,1
5,1,2.5,1,6,367,1
5,1,4,1,4,99,1
