<<<<<<< HEAD
,Approved_target
=======
,Approved
>>>>>>> a182e111471ef946d9e755393e06949f84387e0a
14,1
600,0
435,0
491,0
324,0
496,0
18,1
308,0
578,0
559,0
602,0
320,0
639,0
369,0
10,1
447,0
383,0
348,0
80,1
579,0
94,1
398,0
575,0
571,0
307,1
57,1
577,0
182,1
640,0
313,0
677,0
466,0
319,0
56,1
354,0
180,1
251,1
311,0
222,1
615,0
358,0
611,0
332,0
385,0
495,0
609,0
656,0
216,1
141,1
594,0
267,1
501,0
521,0
147,1
306,1
92,1
461,0
685,0
647,0
652,0
150,1
283,1
316,0
9,1
136,1
121,1
449,0
30,1
321,0
325,0
529,0
189,1
1,1
317,0
334,0
414,0
270,1
13,1
482,0
261,1
178,1
45,1
90,1
16,1
624,0
340,0
511,0
412,0
623,0
77,1
177,1
646,0
214,1
648,0
292,1
172,1
428,0
302,1
465,0
589,0
166,1
356,0
202,1
8,1
387,0
604,0
106,1
29,1
484,0
508,0
347,0
613,0
574,0
312,0
281,1
49,1
683,0
488,0
434,0
350,0
565,0
213,1
517,0
541,0
490,0
476,0
119,1
499,0
303,1
487,0
585,0
32,1
635,0
59,1
175,1
91,1
433,0
129,1
140,1
427,0
633,0
621,0
143,1
3,1
524,0
619,0
467,0
500,0
52,1
211,1
63,1
62,1
532,0
235,1
618,0
71,1
642,0
219,1
493,0
364,0
21,1
536,0
173,1
23,1
464,0
24,1
204,1
260,1
636,0
285,1
337,0
391,0
31,1
360,0
415,0
519,0
105,1
298,1
46,1
454,0
439,0
20,1
684,0
327,0
206,1
634,0
115,1
363,0
89,1
197,1
253,1
351,0
625,0
629,0
598,0
546,0
95,1
328,0
34,1
35,1
53,1
390,0
616,0
540,0
359,0
377,0
481,0
